"dutch","english"
"groot","big"
"klein","small"
"goed","good"
"slecht","bad"
"nieuw","new"
"oud","old"
"jong","young"
"lang","long"
"kort","short"
"hoog","high"
"laag","low"
"duur","expensive"
"goedkoop","cheap"
"snel","fast"
"langzaam","slow"
"warm","warm"
"koud","cold"
"heet","hot"
"mooi","beautiful"
"lelijk","ugly"
"makkelijk","easy"
"moeilijk","difficult"
"gelukkig","happy"
"verdrietig","sad"
"boos","angry"
"moe","tired"
"ziek","sick"
"gezond","healthy"
"sterk","strong"
"zwak","weak"
"vol","full"
"leeg","empty"
"open","open"
"dicht","closed"
"licht","light"
"zwaar","heavy"
"schoon","clean"
"vies","dirty"
"druk","busy"
"rustig","quiet"
"leuk","nice"
"belangrijk","important"
"vrij","free"
"klaar","ready"
"zeker","sure"
