"dutch","english","example"
"gezellig","cozy, sociable","Het was een gezellige avond met vrienden."
"handig","handy, clever","Deze app is heel handig voor reizen."
"nuttig","useful","Dit boek is erg nuttig voor studenten."
"nodig","necessary","Voor dit recept is veel geduld nodig."
"mogelijk","possible","Is het mogelijk om eerder te komen?"
"nieuwsgierig","curious","Kinderen zijn vaak heel nieuwsgierig."
"verlegen","shy","Hij is verlegen tegenover vreemde mensen."
"eerlijk","honest","Wees altijd eerlijk tegen je vrienden."
"vriendelijk","friendly","De serveerster was heel vriendelijk vandaag."
"beleefd","polite","Hij groette ons heel beleefd."
"lui","lazy","Op zondag ben ik soms lui."
"voorzichtig","careful","Wees voorzichtig op de gladde weg."
"gevaarlijk","dangerous","Hard rijden is heel gevaarlijk."
"veilig","safe","Voel je je hier wel veilig?"
"spannend","exciting","De wedstrijd was ontzettend spannend."
"saai","boring","De vergadering was vreselijk saai."
"grappig","funny","Mijn broer vertelt altijd grappige verhalen."
"serieus","serious","Hij neemt zijn werk heel serieus."
"trots","proud","Ik ben trots op mijn dochter."
"jaloers","jealous","Ze is jaloers op haar zus."
"zenuwachtig","nervous","Voor het examen ben ik zenuwachtig."
"tevreden","satisfied","De klant is heel tevreden."
"teleurgesteld","disappointed","Ik ben teleurgesteld in het resultaat."
"verbaasd","surprised","Ze keek mij verbaasd aan."
"bang","afraid","Het kind is bang voor honden."
"dapper","brave","De brandweerman was heel dapper."
"slim","smart","Wat een slim idee van jou!"
"dom","stupid","Dat was echt een domme fout."
"breed","wide","De rivier is hier erg breed."
"smal","narrow","Het straatje is heel smal."
"diep","deep","Het meer is hier heel diep."
"nat","wet","Mijn jas is helemaal nat geworden."
"droog","dry","De grond is na de zomer droog."
"zacht","soft","Dit kussen is lekker zacht."
"scherp","sharp","Pas op, dit mes is scherp."
"aardig","kind","Onze nieuwe buren zijn heel aardig."
"verschrikkelijk","terrible","Het verkeer was vanochtend verschrikkelijk."
"gewoon","ordinary","Het was een heel gewone dag."
"bijzonder","special","Dit is een bijzonder mooi schilderij."
"rommelig","messy","Zijn kamer is altijd erg rommelig."
