"dutch","english","article","plural","example"
"vergadering","meeting","de","vergaderingen","De vergadering begint om tien uur."
"afspraak","appointment","de","afspraken","Ik heb morgen een belangrijke afspraak."
"ervaring","experience","de","ervaringen","Hij heeft veel ervaring met computers."
"opleiding","education","de","opleidingen","Zij volgt een opleiding tot verpleegkundige."
"sollicitatie","job application","de","sollicitaties","Mijn sollicitatie was helaas niet succesvol."
"collega","colleague","de","collega's","Mijn collega helpt me met het rapport."
"salaris","salary","het","salarissen","Het salaris wordt elke maand betaald."
"belasting","tax","de","belastingen","De belasting is dit jaar gestegen."
"verzekering","insurance","de","verzekeringen","Ik heb een goede verzekering afgesloten."
"rekening","bill","de","rekeningen","De rekening van het restaurant was hoog."
"buurt","neighbourhood","de","buurten","Ik woon in een rustige buurt."
"omgeving","surroundings","de","omgevingen","De omgeving rond het dorp is mooi."
"gemeente","municipality","de","gemeenten","De gemeente bouwt een nieuw zwembad."
"regering","government","de","regeringen","De regering neemt nieuwe maatregelen."
"maatschappij","society","de","maatschappijen","De maatschappij verandert heel snel."
"mening","opinion","de","meningen","Iedereen mag zijn mening geven."
"oplossing","solution","de","oplossingen","We zoeken samen een goede oplossing."
"probleem","problem","het","problemen","Het probleem is nu eindelijk opgelost."
"voorbeeld","example","het","voorbeelden","Kun je een duidelijk voorbeeld geven?"
"richting","direction","de","richtingen","We lopen in de verkeerde richting."
"ziekenhuis","hospital","het","ziekenhuizen","Mijn oma ligt in het ziekenhuis."
"behandeling","treatment","de","behandelingen","De behandeling duurt ongeveer een week."
"medicijn","medicine","het","medicijnen","Neem dit medicijn drie keer daags."
"gevoel","feeling","het","gevoelens","Ik heb een goed gevoel hierover."
"herinnering","memory","de","herinneringen","Ik heb mooie herinneringen aan die zomer."
"uitnodiging","invitation","de","uitnodigingen","Bedankt voor de uitnodiging voor het feest."
"vergissing","mistake","de","vergissingen","Dat was een kleine vergissing van mij."
"gebeurtenis","event","de","gebeurtenissen","Het was een bijzondere gebeurtenis voor iedereen."
"voorstel","proposal","het","voorstellen","Hij deed een interessant voorstel tijdens de vergadering."
"afdeling","department","de","afdelingen","Zij werkt op de afdeling verkoop."
"klant","customer","de","klanten","De klant wacht al een halfuur."
"bedrijf","company","het","bedrijven","Het bedrijf heeft veel nieuwe medewerkers."
"markt","market","de","markten","Op de markt koop ik verse groente."
"prijs","price","de","prijzen","De prijs van benzine stijgt weer."
"korting","discount","de","kortingen","Ik kreeg tien procent korting op de jas."
"reclame","advertisement","de","reclames","Op televisie zie je veel reclame."
"krant","newspaper","de","kranten","Ik lees elke ochtend de krant."
"tijdschrift","magazine","het","tijdschriften","Dit tijdschrift verschijnt elke maand."
"reis","trip","de","reizen","Onze reis naar Spanje was geweldig."
"vakantie","holiday","de","vakanties","In de vakantie gaan we naar zee."
"tand","tooth","de","tanden","Mijn tand doet erg veel pijn."
"arm","arm","de","armen","Hij brak zijn arm bij het voetballen."
"been","leg","het","benen","Mijn been is helemaal stijf vandaag."
"voet","foot","de","voeten","Mijn voet doet pijn na het lopen."
"knie","knee","de","knieën","Hij viel hard op zijn knie."
"vinger","finger","de","vingers","Ik heb mijn vinger lelijk gesneden."
"rug","back","de","ruggen","Mijn rug doet pijn van het tillen."
"buik","belly","de","buiken","Mijn buik is helemaal vol nu."
"schouder","shoulder","de","schouders","Hij klopte me op de schouder."
"neus","nose","de","neuzen","Mijn neus is verstopt door de kou."
"oor","ear","het","oren","Het kind fluistert iets in mijn oor."
"mond","mouth","de","monden","Doe je mond eens wijd open."
"keel","throat","de","kelen","Ik heb pijn in mijn keel."
"hart","heart","het","harten","Mijn hart klopt nu heel snel."
"huid","skin","de","huiden","Haar huid is erg gevoelig voor zon."
"patiënt","patient","de","patiënten","De patiënt wacht geduldig op de dokter."
"dokter","doctor","de","dokters","De dokter onderzoekt de patiënt zorgvuldig."
"tandarts","dentist","de","tandartsen","Ik ga morgen naar de tandarts."
"wond","wound","de","wonden","De wond geneest gelukkig heel snel."
"pleister","plaster","de","pleisters","Ik plak een pleister op de snee."
"ziekte","illness","de","ziektes","Deze ziekte is gelukkig goed te behandelen."
"operatie","operation","de","operaties","De operatie verliep zonder enige problemen."
"recept","prescription","het","recepten","De dokter schreef een recept voor antibiotica."
"baan","job","de","banen","Hij zoekt een nieuwe baan in Utrecht."
"beroep","profession","het","beroepen","Verpleegkundige is een mooi maar zwaar beroep."
"functie","position","de","functies","Zij kreeg een hogere functie bij het bedrijf."
"taak","task","de","taken","Deze taak moet vandaag nog af."
"project","project","het","projecten","Het project loopt al bijna een jaar."
"contract","contract","het","contracten","Hij tekende gisteren zijn nieuwe contract."
"werkgever","employer","de","werkgevers","Mijn werkgever betaalt de cursus volledig."
"werknemer","employee","de","werknemers","Elke werknemer krijgt deze maand een bonus."
"manager","manager","de","managers","De manager houdt morgen een korte toespraak."
"directeur","director","de","directeuren","De directeur opent de nieuwe vestiging."
"baas","boss","de","bazen","Mijn baas is vandaag op vakantie."
"kantoor","office","het","kantoren","Ik werk meestal vanuit het kantoor."
"werkplek","workplace","de","werkplekken","Mijn werkplek is opgeruimd en rustig."
"pauze","break","de","pauzes","We nemen om twaalf uur pauze."
"ontslag","dismissal","het","ontslagen","Hij kreeg vorige week onverwacht ontslag."
"promotie","promotion","de","promoties","Zij verdient na haar promotie meer salaris."
"cursus","course","de","cursussen","Ik volg een cursus Spaans op zaterdag."
"training","training","de","trainingen","De training begint elke avond om zeven."
"diploma","diploma","het","diploma's","Zij haalde haar diploma met goede cijfers."
"certificaat","certificate","het","certificaten","Na de cursus ontvang je een certificaat."
"stage","internship","de","stages","Hij loopt stage bij een groot bedrijf."
"vacature","vacancy","de","vacatures","Er staat een vacature op de website."
"loon","wage","het","lonen","Het loon wordt rond de maand betaald."
"pensioen","pension","het","pensioenen","Mijn opa geniet nu van zijn pensioen."
"staking","strike","de","stakingen","De staking legde het treinverkeer stil."
"woning","dwelling","de","woningen","De woning heeft een ruime tuin."
"appartement","apartment","het","appartementen","Ze huren een klein appartement in Rotterdam."
"kamer","room","de","kamers","Mijn kamer kijkt uit op de straat."
"keuken","kitchen","de","keukens","De keuken is net helemaal verbouwd."
"badkamer","bathroom","de","badkamers","De badkamer heeft een grote douche."
"slaapkamer","bedroom","de","slaapkamers","De slaapkamer ligt op de eerste verdieping."
"woonkamer","living room","de","woonkamers","We zitten 's avonds in de woonkamer."
"zolder","attic","de","zolders","Op zolder staan veel oude dozen."
"kelder","cellar","de","kelders","In de kelder bewaren we de wijn."
"tuin","garden","de","tuinen","De tuin staat vol met bloemen."
"trap","stairs","de","trappen","Ze loopt snel de trap op."
"gang","hallway","de","gangen","De jassen hangen in de gang."
"muur","wall","de","muren","Aan de muur hangt een schilderij."
"vloer","floor","de","vloeren","De vloer is van donker hout."
"plafond","ceiling","het","plafonds","Aan het plafond hangt een mooie lamp."
"dak","roof","het","daken","Het dak lekt na de storm."
