"infinitive","english","present","simple_past","present_perfect","example"
"afspreken","to make an appointment - to agree","spreek af","sprak af","heb afgesproken","We spreken om zeven uur af."
"aanraden","to recommend","raad aan","raadde aan","heb aangeraden","Ik raad je dit boek echt aan."
"opletten","to pay attention","let op","lette op","heb opgelet","Let goed op tijdens de les."
"ophalen","to pick up","haal op","haalde op","heb opgehaald","Ik haal de kinderen van school op."
"invullen","to fill in","vul in","vulde in","heb ingevuld","Vul het formulier even helemaal in."
"uitleggen","to explain","leg uit","legde uit","heb uitgelegd","De docent legt de nieuwe regels uit."
"opruimen","to tidy up","ruim op","ruimde op","heb opgeruimd","Ik ruim mijn rommelige kamer op."
"afwassen","to wash the dishes","was af","waste af","heb afgewassen","Na het eten was ik altijd af."
"aankleden","to get dressed","kleed aan","kleedde aan","heb aangekleed","Ik kleed me snel even aan."
"uitnodigen","to invite","nodig uit","nodigde uit","heb uitgenodigd","We nodigen vrienden voor het feest uit."
"meenemen","to take along","neem mee","nam mee","heb meegenomen","Neem je paraplu mee naar buiten."
"terugkomen","to come back","kom terug","kwam terug","ben teruggekomen","Ik kom morgen weer bij je terug."
"weggaan","to leave","ga weg","ging weg","ben weggegaan","We gaan om acht uur weg."
"opbellen","to call up","bel op","belde op","heb opgebeld","Ik bel de dokter straks even op."
"aanzetten","to turn on","zet aan","zette aan","heb aangezet","Zet de televisie even voor me aan."
"uitzetten","to turn off","zet uit","zette uit","heb uitgezet","Zet de radio alsjeblieft even uit."
"doorgaan","to continue","ga door","ging door","ben doorgegaan","Na de pauze gaan we door."
"afmaken","to finish","maak af","maakte af","heb afgemaakt","Ik maak eerst mijn werk af."
"bespreken","to discuss","bespreek","besprak","heb besproken","We bespreken het plan morgen samen."
"regelen","to arrange","regel","regelde","heb geregeld","Ik regel de tickets voor ons allebei."
"voorstellen","to propose - to introduce","stel voor","stelde voor","heb voorgesteld","Ik stel een heel ander plan voor."
"ontdekken","to discover","ontdek","ontdekte","heb ontdekt","Ik ontdek elke dag iets nieuws."
"verwachten","to expect","verwacht","verwachtte","heb verwacht","Ik verwacht je rond zes uur."
"opzoeken","to look up","zoek op","zocht op","heb opgezocht","Ik zoek het woord in het woordenboek op."
"melden","to report","meld","meldde","heb gemeld","Ik meld me ziek bij mijn baas."
"opnemen","to answer the phone - to record","neem op","nam op","heb opgenomen","Ik neem de telefoon snel op."
"proeven","to taste","proef","proefde","heb geproefd","Proef even van deze lekkere soep."
"lenen","to borrow - to lend","leen","leende","heb geleend","Ik leen een boek van de bibliotheek."
"besluiten","to decide","besluit","besloot","heb besloten","We besluiten om thuis te blijven."
"groeien","to grow","groei","groeide","ben gegroeid","De plant groeit elke week harder."
"stijgen","to rise","stijg","steeg","ben gestegen","De prijzen stijgen ieder jaar weer."
"dalen","to descend - to drop","daal","daalde","ben gedaald","De temperatuur daalt vannacht flink."
"zorgen","to take care","zorg","zorgde","heb gezorgd","Ik zorg goed voor mijn kinderen."
"passen","to fit - to try on","pas","paste","heb gepast","Deze broek past me echt perfect."
"ruilen","to exchange","ruil","ruilde","heb geruild","Ik ruil de trui voor een grotere."
"verven","to paint","verf","verfde","heb geverfd","We verven de muren van de woonkamer."
"ophangen","to hang up","hang op","hing op","heb opgehangen","Ik hang de natte was buiten op."
"bedanken","to thank","bedank","bedankte","heb bedankt","Ik bedank je hartelijk voor je hulp."
"weigeren","to refuse","weiger","weigerde","heb geweigerd","Hij weigert om met ons mee te gaan."
"verbeteren","to improve - to correct","verbeter","verbeterde","heb verbeterd","Ik verbeter mijn Nederlands elke dag."
"aanmelden","to register - to sign up","meld aan","meldde aan","heb aangemeld","Ik meld me aan voor de cursus."
"aanraken","to touch","raak aan","raakte aan","heb aangeraakt","Raak de hete pan niet aan."
"aanvragen","to apply for - to request","vraag aan","vroeg aan","heb aangevraagd","Ik vraag een nieuw paspoort aan."
"aankijken","to look at","kijk aan","keek aan","heb aangekeken","Hij kijkt me boos aan."
"afhalen","to collect - to get takeaway","haal af","haalde af","heb afgehaald","We halen vanavond eten af."
"afronden","to finish - to round off","rond af","rondde af","heb afgerond","Ik rond het project deze week af."
"afsluiten","to lock - to close","sluit af","sloot af","heb afgesloten","Vergeet niet de deur af te sluiten."
"afzeggen","to cancel","zeg af","zei af","heb afgezegd","Ik moet de afspraak helaas afzeggen."
"afvallen","to lose weight","val af","viel af","ben afgevallen","Ik wil een paar kilo afvallen."
"afzetten","to drop off - to turn off","zet af","zette af","heb afgezet","Ik zet je bij het station af."
"bijhouden","to keep up","houd bij","hield bij","heb bijgehouden","Ik houd mijn agenda goed bij."
"binnenkomen","to enter","kom binnen","kwam binnen","ben binnengekomen","Kom alsjeblieft rustig binnen."
"dichtdoen","to close","doe dicht","deed dicht","heb dichtgedaan","Doe het raam even dicht."
"doorsturen","to forward","stuur door","stuurde door","heb doorgestuurd","Ik stuur de mail naar je door."
"doorbrengen","to spend time","breng door","bracht door","heb doorgebracht","We brengen de vakantie aan zee door."
"inleveren","to hand in","lever in","leverde in","heb ingeleverd","Ik lever mijn verslag morgen in."
"inpakken","to pack - to wrap","pak in","pakte in","heb ingepakt","Ik pak mijn koffer voor de reis in."
"instappen","to board - to get in","stap in","stapte in","ben ingestapt","We stappen snel in de trein."
"uitstappen","to get off","stap uit","stapte uit","ben uitgestapt","Ik stap bij de volgende halte uit."
"langskomen","to drop by","kom langs","kwam langs","ben langsgekomen","Kom je vanavond even langs?"
"langsgaan","to drop by","ga langs","ging langs","ben langsgegaan","Ik ga bij de bakker langs."
"meedoen","to participate","doe mee","deed mee","heb meegedaan","Doe je mee met het spel?"
"meegaan","to come along","ga mee","ging mee","ben meegegaan","Ga je mee naar de stad?"
"meevallen","to be better than expected","val mee","viel mee","is meegevallen","Het examen viel gelukkig mee."
"tegenvallen","to disappoint","val tegen","viel tegen","is tegengevallen","Het weer valt vandaag erg tegen."
"nadenken","to think over","denk na","dacht na","heb nagedacht","Ik denk goed over je voorstel na."
"nakijken","to check - to mark","kijk na","keek na","heb nagekeken","De docent kijkt de toetsen na."
"omdraaien","to turn around","draai om","draaide om","heb omgedraaid","Ik draai me snel om."
"omgaan","to deal with","ga om","ging om","ben omgegaan","Hij gaat goed met kritiek om."
"opvallen","to stand out - to be noticed","val op","viel op","is opgevallen","Het valt me op dat je moe bent."
"opvangen","to catch - to shelter","vang op","ving op","heb opgevangen","Wij vangen de kinderen na school op."
"opvoeden","to raise children","voed op","voedde op","heb opgevoed","Zij voedt haar kinderen streng op."
"opwarmen","to heat up","warm op","warmde op","heb opgewarmd","Ik warm de soep even op."
"opladen","to charge","laad op","laadde op","heb opgeladen","Ik laad mijn telefoon 's nachts op."
"opmaken","to use up - to put on makeup","maak op","maakte op","heb opgemaakt","Zij maakt zich elke ochtend op."
"opschieten","to hurry up","schiet op","schoot op","ben opgeschoten","Schiet op, anders missen we de bus."
"opschrijven","to write down","schrijf op","schreef op","heb opgeschreven","Ik schrijf het adres even op."
"opsturen","to send off","stuur op","stuurde op","heb opgestuurd","Ik stuur je het pakket morgen op."
"ophouden","to stop","houd op","hield op","ben opgehouden","Hou alsjeblieft op met dat lawaai."
"opzetten","to set up - to put on","zet op","zette op","heb opgezet","Ik zet even een kopje thee op."
"opzeggen","to cancel a subscription","zeg op","zei op","heb opgezegd","Ik zeg mijn abonnement op."
"overstappen","to transfer - to switch","stap over","stapte over","ben overgestapt","In Utrecht stap ik over."
"overmaken","to transfer money","maak over","maakte over","heb overgemaakt","Ik maak het geld vandaag over."
"overnachten","to stay overnight","overnacht","overnachtte","heb overnacht","We overnachten in een goedkoop hotel."
