"infinitive","english","present","simple_past","present_perfect","example"
"afwijken","to deviate","wijk af","week af","ben afgeweken","De resultaten wijken sterk van elkaar af."
"belichamen","to embody","belichaam","belichaamde","heb belichaamd","Hij belichaamt het ideale leiderschap."
"doorgronden","to fathom - to fully comprehend","doorgrond","doorgrondde","heb doorgrond","Niemand kan haar ware gedachten doorgronden."
"nastreven","to pursue - to strive for","streef na","streefde na","heb nagestreefd","We streven volledige gelijkheid na."
"ontlenen","to derive - to draw from","ontleen","ontleende","heb ontleend","Hij ontleent zijn gezag aan ervaring."
"verhullen","to conceal","verhul","verhulde","heb verhuld","Zij verhult handig haar ware bedoelingen."
"ontvouwen","to unfold - to reveal","ontvouw","ontvouwde","heb ontvouwd","Hij ontvouwt zijn plannen aan het bestuur."
"belemmeren","to hinder - to obstruct","belemmer","belemmerde","heb belemmerd","Strenge regels belemmeren de vooruitgang."
"bewerkstelligen","to bring about","bewerkstellig","bewerkstelligde","heb bewerkstelligd","Zij bewerkstelligt een grote verandering."
"doordringen","to penetrate - to sink in","dring door","drong door","ben doorgedrongen","De boodschap dringt langzaam tot hem door."
"veronderstellen","to assume","veronderstel","veronderstelde","heb verondersteld","Ik veronderstel dat je gelijk hebt."
"bagatelliseren","to trivialize - to downplay","bagatelliseer","bagatelliseerde","heb gebagatelliseerd","Hij bagatelliseert het ernstige probleem."
"rechtvaardigen","to justify","rechtvaardig","rechtvaardigde","heb gerechtvaardigd","Niets rechtvaardigt zulk zinloos geweld."
"weerleggen","to refute","weerleg","weerlegde","heb weerlegd","De wetenschapper weerlegt de oude theorie."
"ondermijnen","to undermine","ondermijn","ondermijnde","heb ondermijnd","Corruptie ondermijnt het vertrouwen in de staat."
"inwilligen","to grant - to comply with","willig in","willigde in","heb ingewilligd","De directeur willigt mijn verzoek in."
"ontketenen","to unleash - to trigger","ontketen","ontketende","heb ontketend","De maatregel ontketent veel fel protest."
"verankeren","to anchor - to embed","veranker","verankerde","heb verankerd","Dit recht is stevig in de wet verankerd."
"afdwingen","to enforce - to command","dwing af","dwong af","heb afgedwongen","Zijn enorme talent dwingt veel respect af."
"inboeten","to lose - to forfeit","boet in","boette in","heb ingeboet","De partij boet flink aan invloed in."
"toejuichen","to applaud - to welcome","juich toe","juichte toe","heb toegejuicht","Wij juichen dit nieuwe initiatief toe."
"uiteenzetten","to expound - to set out","zet uiteen","zette uiteen","heb uiteengezet","Hij zet zijn visie helder uiteen."
"vooropstellen","to put first - to prioritize","stel voorop","stelde voorop","heb vooropgesteld","Wij stellen de veiligheid altijd voorop."
"koesteren","to cherish","koester","koesterde","heb gekoesterd","Ik koester de mooie herinneringen aan vroeger."
"gedijen","to thrive","gedij","gedijde","ben/heb gedijd","Deze planten gedijen goed in de zon."
"verwezenlijken","to realize - to achieve","verwezenlijk","verwezenlijkte","heb verwezenlijkt","Hij verwezenlijkt eindelijk zijn grootste droom."
"afbakenen","to demarcate - to define","baken af","bakende af","heb afgebakend","We bakenen het onderwerp duidelijk af."
"doorstaan","to endure - to withstand","doorsta","doorstond","heb doorstaan","Zij doorstaat de moeilijke periode dapper."
"behelzen","to entail - to comprise","behels","behelsde","heb behelsd","Wat behelst dit ingewikkelde voorstel precies?"
"inluiden","to usher in - to herald","luid in","luidde in","heb ingeluid","Dit akkoord luidt een nieuw tijdperk in."
"ontspruiten","to spring from - to originate","ontspruit","ontsproot","ben ontsproten","Het idee ontspruit aan zijn rijke fantasie."
"overschaduwen","to overshadow","overschaduw","overschaduwde","heb overschaduwd","Het schandaal overschaduwt zijn hele succes."
"terugdeinzen","to recoil - to shrink back","deins terug","deinsde terug","ben teruggedeinsd","Hij deinst voor niets of niemand terug."
"vergaren","to gather - to amass","vergaar","vergaarde","heb vergaard","Zij vergaart veel kennis over het onderwerp."
"ontkrachten","to invalidate - to disprove","ontkracht","ontkrachtte","heb ontkracht","De harde feiten ontkrachten zijn bewering."
"doorzien","to see through","doorzie","doorzag","heb doorzien","Ik doorzie meteen zijn ware bedoelingen."
"aanwakkeren","to fuel - to stir up","wakker aan","wakkerde aan","heb aangewakkerd","De harde wind wakkert het vuur aan."
"bekrachtigen","to ratify - to confirm","bekrachtig","bekrachtigde","heb bekrachtigd","Het parlement bekrachtigt het nieuwe verdrag."
"verzoenen","to reconcile","verzoen","verzoende","heb verzoend","Na de ruzie verzoen ik me met hem."
"bezielen","to inspire - to animate","beziel","bezielde","heb bezield","Een groot ideaal bezielt heel zijn werk."
