"infinitive","english","present","simple_past","present_perfect"
"aflopen","to end","loop af","liep af","is afgelopen"
"aanbieden","to offer","bied aan","bood aan","heb/is aangeboden"
"aankomen","to arrive","kom aan","kwam aan","ben aangekomen"
"appen","to send a WhatsApp","app","appte","heb geappt"
"bedoelen","to mean","bedoel","bedoelde","heb bedoeld"
"beginnen","to begin","begin","begon","ben begonnen"
"begrijpen","to understand","begrijp","begreep","heb begrepen"
"bellen","to call","bel","belde","heb gebeld"
"beloven","to promise","beloof","beloofde","heb beloofd"
"bestellen","to order","bestel","bestelde","heb besteld"
"betalen","to pay","betaal","betaalde","heb betaald"
"betekenen","to mean - to signify","betekent","betekende","heeft betekend"
"bevallen","to give birth","beval","beviel","ben bevallen"
"bewaren","to save - to keep","bewaar","bewaarde","heb bewaard"
"bewegen","to move","beweeg","bewoog","heb bewogen"
"bezoeken","to visit","bezoek","bezocht","heb bezocht"
"bidden","to pray","bid","bad","heb gebeden"
"blowen","to smoke a joint","blow","blowde","heb geblowd"
"blijken","to come true - to turn out","blijk","bleek","is gebleken"
"blijven","to stay","blijf","bleef","ben gebleven"
"boeren","to burp","boer","boerde","heb geboerd"
"boodschappen doen","to do groceries","doe boodschappen","deed boodschappen","heb boodschappen gedaan"
"brengen","to bring","breng","bracht","heb gebracht"
"chatten","to chat (computer)","chat","chatte","heb gechat"
"checken","to check - to control","check","checkte","heb gecheckt"
"condoleren","to condole","condoleer","condoleerde","heb gecondoleerd"
"controleren","to control - to check","controleer","controleerde","heb/is gecontroleerd"
"dansen","to dance","dans","danste","heb gedanst"
"denken","to think","denk","dacht","heb gedacht"
"doen","to do","doe","deed","heb gedaan"
"douchen","to take a shower","douche","douchte","heb/ben gedoucht"
"downloaden","to download","download","downloadde","heb gedownload"
"draaien","to turn around - to run (a movie)","draai","draaide","heeft/is gedraaid"
"dragen","to wear","draag","droeg","heb gedragen"
"drinken","to drink","drink","dronk","heb gedronken"
"duren","to last - to take (time)","duurt","duurde","heeft geduurd"
"durven","to dare","durf","durfde","heb gedurfd"
"eisen","to demand","eis","eiste","heb geëist"
"ervaren","to experience","ervaar","ervoer","heb ervaren"
"eten","to eat","eet","at","heb gegeten"
"feliciteren","to congratulate","feliciteer","feliciteerde","heb gefeliciteerd"
"fietsen","to cycle","fiets","fietste","heb/ben gefietst"
"fitnessen","to work out","fitness","fitnesste","heb gefitnesst"
"gaan","to go","ga","ging","ben gegaan"
"gapen","to yawn","gaap","gaapte","heb gegaapt"
"gebeuren","to happen","gebeurt","gebeurde","is gebeurd"
"gebruiken","to use","gebruik","gebruikte","heb gebruikt"
"geloven","to believe","geloof","geloofde","heb geloofd"
"genieten","to enjoy","geniet","genoot","heb genoten"
"geven","to give","geef","gaf","heb gegeven"
"geven","to matter","geeft","gaf","heeft gegeven"
"googlen","to use Google","google","googlede","heb gegoogled"
"grijpen","to grab","grijp","greep","heb gegrepen"
"groeten","to greet","groet","groette","heb gegroet"
"haasten","to hurry up (zich)","haast","haastte","heb gehaast"
"halen","to get - to pass (an exam)","haal","haalde","heb gehaald"
"hamsteren","to hoard (up)","hamster","hamsterde","heb gehamsterd"
"hangen","to hang","hang","hing","heb gehangen"
"hebben","to have","heb","had","heb gehad"
"nodig hebben","to need","heb nodig","had nodig","heb nodig gehad"
"helpen","to help","help","hielp","heb geholpen"
"herhalen","to repeat","herhaal","herhaalde","heb herhaald"
"herinneren","to remember (zich)","herinner","herinnerde","heb herinnerd"
"herkennen","to recognize","herken","herkende","heb herkend"
"hoesten","to cough","hoest","hoestte","heb gehoest"
"hoeven","need not - don't have to","hoef","hoefde","heb gehoeven"
"horen","to hear","hoor","hoorde","heb gehoord"
"houden","to hold","houd","hield","heb gehouden"
"houden van","to love - to like","houd van","hield van","heb gehouden van"
"huilen","to cry","huil","huilde","heb gehuild"
"huren","to rent","huur","huurde","heb gehuurd"
"internetten","to surf the internet","internet","internette","heb geïnternet"
"inschrijven","to subscribe - to register (zich)","schrijf in","schreef in","heb/ben ingeschreven"
"kammen","to comb","kam","kamde","heb/is gekamd"
"kauwen","to chew","kauw","kauwde","heb/is gekauwd"
"kennen","to know - to be acquainted with","ken","kende","heb gekend"
"kiezen","to choose - to elect","kies","koos","heb gekozen"
"kijken","to watch","kijk","keek","heb gekeken"
"klagen","to complain","klaag","klaagde","heb geklaagd"
"klinken","to sound","klinkt","klonk","heb geklonken"
"kloppen","to knock","klop","klopte","heb geklopt"
"kloppen","to be right - that's right","klopt","klopte","heb geklopt"
"knippen","to cut hair","knip","knipte","heb/ben geknipt"
"koken","to cook","kook","kookte","heb gekookt"
"kopen","to buy","koop","kocht","heb gekocht"
"kopiëren","to photocopy","kopieer","kopieerde","heb/is gekopieerd"
"komen","to come","kom","kwam","ben gekomen"
"kunnen","can - to be able to","kan","kon","heb gekund"
"kussen","to kiss","kus","kuste","heb gekust"
"kraken","to crack - to squat (a house)","kraak","kraakte","heb/is gekraakt"
"krijgen","to get - to obtain","krijg","kreeg","heb gekregen"
"lachen","to laugh","lach","lachte","heb gelachen"
"laten","to allow - to let","laat","liet","heb gelaten"
"laten zien","to show","laat zien","liet zien","heb laten zien"
"leven","to live","leef","leefde","heb geleefd"
"leren","to learn","leer","leerde","heb geleerd"
"lezen","to read","lees","las","heb gelezen"
"leggen","to lay down - to put","leg","legde","heb gelegd"
"liegen","to lie (tell a lie)","lieg","loog","heb gelogen"
"liggen","to lie - to be situated","lig","lag","heb gelegen"
"lijken","to look like - to seem","lijk","leek","heb geleken"
"lijnen","to diet","lijn","lijnde","heb gelijnd"
"liken","to like (Facebook)","like","likete","heb geliket"
"lukken","to succeed - to go well","lukt","lukte","is gelukt"
"lopen","to walk","loop","liep","heb/ben gelopen"
"luisteren","to listen","luister","luisterde","heb geluisterd"
"lunchen","to have lunch","lunch","lunchte","heb geluncht"
"lusten","to like - to enjoy (food)","lust","lustte","heb gelust"
"mailen","to send an email","mail","mailde","heb gemaild"
"maken","to make","maak","maakte","heb gemaakt"
"merken","to notice","merk","merkte","heb gemerkt"
"missen","to miss (someone)","mis","miste","heb gemist"
"moeten","must - to have to","moet","moest","heb moeten"
"mogen","may - to be allowed to","mag","mocht","heb gemogen"
"nemen","to take","neem","nam","heb genomen"
"neuken","to fuck","neuk","neukte","heb geneukt"
"niezen","to sneeze","nies","niesde","heb geniesd"
"oefenen","to practice - to exercise","oefen","oefende","heb geoefend"
"ontbijten","to have breakfast","ontbijt","ontbeet","heb ontbeten"
"onthouden","to remember","onthoud","onthield","heb onthouden"
"ontmoeten","to meet","ontmoet","ontmoette","heb ontmoet"
"ontwerpen","to design","ontwerp","ontwierp","heb/is ontworpen"
"opscheppen","to brag - to dish up","schep op","schepte op","heb/is opgeschept"
"opstaan","to get up - to wake up","sta op","stond op","ben opgestaan"
"overgeven","to throw up - to surrender","geef over","gaf over","heb overgegeven"
"overlijden","to die","overlijd","overleed","is overleden"
"pakken","to take - to pick","pak","pakte","heb gepakt"
"parkeren","to park","parkeer","parkeerde","heb/is geparkeerd"
"pinnen","to withdraw money","pin","pinde","heb gepind"
"poetsen","to polish - to brush (teeth)","poets","poetste","heb/is gepoetst"
"polderen","to come to terms - to agree","polder","polderde","heb/is gepolderd"
"praten","to talk","praat","praatte","heb gepraat"
"printen","to print","print","printte","heb/is geprint"
"proberen","to try","probeer","probeerde","heb geprobeerd"
"proosten","to toast - cheers!","proost","proostte","heb/is geproost"
"regenen","to rain","regent","regende","heeft geregend"
"relaxen","to relax","relax","relaxte","heb gerelaxt"
"reizen","to travel","reis","reisde","heb/ben gereisd"
"reserveren","to make a reservation","reserveer","reserveerde","heb/is gereserveerd"
"rijden","to ride - to drive","rijd","reed","heb/ben gereden"
"roddelen","to gossip","roddel","roddelde","heb geroddeld"
"roken","to smoke","rook","rookte","heb gerookt"
"ruiken","to smell","ruik","rook","heb geroken"
"saven","to save (computer)","save","savede","heb gesaved"
"schaatsen","to ice-skate","schaats","schaatste","heb geschaatst"
"schamen","to be ashamed (zich)","schaam","schaamde","heb geschaamd"
"schelden","to use bad words","scheld","schold","heb gescholden"
"scheiden","to divorce","scheid","scheidde","ben gescheiden"
"scheren","to shave (zich)","scheer","scheerde","heb geschoren"
"schijnen","to shine - to seem - to appear","schijn","scheen",""
"schoonmaken","to clean","maak schoon","maakte schoon","heb schoongemaakt"
"schrijven","to write","schrijf","schreef","heb geschreven"
"shoppen","to shop","shop","shopte","heb geshopt"
"sjansen","to flirt","sjans","sjanste","heb gesjanst"
"slaan","to hit","sla","sloeg","heb geslagen"
"slapen","to sleep","slaap","sliep","heb geslapen"
"slijmen","to suck up","slijm","slijmde","heb geslijmd"
"smaken","to taste","smaakt","smaakte","heeft gesmaakt"
"sms'en","to send an sms","sms","sms'te","heb ge-sms't"
"snappen","to understand - to get","snap","snapte","heb gesnapt"
"sneeuwen","to snow","sneeuwt","sneeuwde","heeft gesneeuwd"
"snijden","to cut","snijd","sneed","heb gesneden"
"snoepen","to snack on sweets","snoep","snoepte","heb gesnoept"
"snurken","to snore","snurk","snurkte","heb gesnurkt"
"solliciteren","to apply for a job","solliciteer","solliciteerde","heb gesolliciteerd"
"sparen","to save (money)","spaar","spaarde","heb/is gespaard"
"spelen","to play - to play music","speel","speelde","heb gespeeld"
"sporten","to do sports","sport","sportte","heb gesport"
"spijbelen","to play truant","spijbel","spijbelde","heb gespijbeld"
"spijten","to regret","spijt","speet","heeft gespeten"
"spreken","to speak","spreek","sprak","heb gesproken"
"staan","to stand - to be","sta","stond","heb gestaan"
"starten","to start","start","startte","is/heb gestart"
"stelen","to steal","steel","stal","heb/is gestolen"
"sterven","to pass away - to die","sterf","stierf","ben gestorven"
"stinken","to stink","stink","stonk","heb gestonken"
"stoppen","to stop","stop","stopte","ben gestopt"
"stoppen","to put (in)","stop","stopte","heb/is gestopt"
"storen","to disturb","stoor","stoorde","heb/ben gestoord"
"strijken","to iron","strijk","streek","heb/is gestreken"
"sturen","to send","stuur","stuurde","heb/is gestuurd"
"trouwen","to marry","trouw","trouwde","ben getrouwd"
"uitgaan","to go out","ga uit","ging uit","ben uitgegaan"
"vallen","to fall","val","viel","ben gevallen"
"vangen","to catch","vang","ving","heb/is gevangen"
"vapen","to vape","vape","vapte","heb gevapet"
"vechten","to fight","vecht","vocht","heb gevochten"
"veranderen","to change","verander","veranderde","heb/ben veranderd"
"verdienen","to earn - to deserve","verdien","verdiende","heb verdiend"
"verdwalen","to get lost","verdwaal","verdwaalde","ben verdwaald"
"vergaderen","to have a meeting","vergader","vergaderde","heb vergaderd"
"vergelijken","to compare","vergelijk","vergeleek","heb vergeleken"
"vergeten","to forget","vergeet","vergat","ben vergeten"
"vergissen","to be mistaken (zich)","vergis","vergiste","heb vergist"
"verhuizen","to move (house)","verhuis","verhuisde","ben/heb verhuisd"
"verkopen","to sell","verkoop","verkocht","heb verkocht"
"verslapen","to oversleep (zich)","verslaap","versliep","heb verslapen"
"verstaan","to understand (by hearing)","versta","verstond","heb verstaan"
"vertalen","to translate","vertaal","vertaalde","heb/is vertaald"
"vertrekken","to leave","vertrek","vertrok","ben vertrokken"
"verliezen","to lose","verlies","verloor","ben/heb verloren"
"verpesten","to screw up - to ruin","verpest","verpestte","heb verpest"
"verplaatsen","to move (a thing)","verplaats","verplaatste","heb/is verplaatst"
"versieren","to decorate","versier","versierde","heb/ben versierd"
"verwennen","to spoil","verwen","verwende","heb/is verwend"
"vieren","to celebrate","vier","vierde","heb gevierd"
"vinden","to find","vind","vond","heb/is gevonden"
"vinden","to have an opinion","vind","vond","heb gevonden"
"vliegen","to fly","vlieg","vloog","heb/ben gevlogen"
"voelen","to feel (zich)","voel","voelde","heb gevoeld"
"vragen","to ask","vraag","vroeg","heb gevraagd"
"vriezen","to freeze","vriest","vroor","heeft gevroren"
"vrijen","to make love","vrij","vree","heb gevreeën"
"waaien","to blow (wind)","waait","woei/waaide","heeft gewaaid"
"wachten","to wait","wacht","wachtte","heb gewacht"
"wakker worden","to wake up","word wakker","werd wakker","ben wakker geworden"
"wegen","to weigh","weeg","woog","heb/ben gewogen"
"wennen","to get used to","went","wende","ben gewend"
"werken","to work","werk","werkte","heb gewerkt"
"wassen","to wash (zich)","was","waste","heb gewassen"
"weten","to know","weet","wist","heb geweten"
"whatsappen","to use WhatsApp","whatsapp","whatsappte","heb gewhatsappt"
"willen","to want","wil","wilde/wou","heb gewild"
"winkelen","to shop","winkel","winkelde","heb gewinkeld"
"winnen","to win","win","won","heb gewonnen"
"wonen","to live (in a place)","woon","woonde","heb gewoond"
"worden","to become","word","werd","ben geworden"
"zakken","to fail an exam","zak","zakte","ben gezakt"
"zappen","to zap","zap","zapte","heb gezapt"
"zeggen","to say","zeg","zei","heb gezegd"
"zien","to see","zie","zag","heb gezien"
"zijn","to be","ben","was","ben geweest"
"zingen","to sing","zing","zong","heb gezongen"
"zitten","to sit - to be","zit","zat","heb gezeten"
"zoeken","to search (for)","zoek","zocht","heb gezocht"
"zoenen","to kiss","zoen","zoende","heb gezoend"
"zouden","would - should","zou","",""
"zullen","will - shall","zal","zou",""
"zwemmen","to swim","zwem","zwom","heb/ben gezwommen"
"zoomen","to use Zoom","zoom","zoomde","heb gezoomd"
