"dutch","english","example"
"bovendien","moreover","Het is duur; bovendien is het lelijk."
"desondanks","nevertheless","Het regende; desondanks gingen we wandelen."
"echter","however","Het plan was goed; het mislukte echter."
"daarentegen","on the other hand","Hij is rustig; zij daarentegen is druk."
"daarnaast","in addition","Daarnaast wil ik nog iets toevoegen."
"vervolgens","subsequently","Vervolgens gingen we samen naar huis."
"immers","after all","Hij weet het immers allang."
"tevens","also","Hij is leraar en tevens schrijver."
"wellicht","perhaps","Wellicht kom ik vanavond wat later."
"enigszins","somewhat","Ik ben enigszins teleurgesteld in hem."
"nogal","rather","Het was nogal druk in de stad."
"tamelijk","fairly","Het examen was tamelijk lastig."
"uiteindelijk","eventually","Uiteindelijk lukte het toch nog."
"uiteraard","of course","Uiteraard help ik je graag verder."
"doorgaans","generally","Doorgaans werk ik tot vijf uur."
"destijds","at that time","Destijds was alles heel anders."
"voortdurend","continuously","Hij klaagt voortdurend over zijn werk."
"herhaaldelijk","repeatedly","Ze heeft hem herhaaldelijk gebeld."
"voorheen","previously","Voorheen woonde ik in België."
"zogenaamd","supposedly","Hij bleef zogenaamd ziek thuis."
"kennelijk","evidently","Kennelijk had hij het helemaal vergeten."
"weliswaar","admittedly","Het is weliswaar duur, maar prachtig."
"grotendeels","largely","Het werk is inmiddels grotendeels af."
"deels","partly","Dat is deels waar, denk ik."
"voornamelijk","mainly","We eten voornamelijk verse groente."
"zodoende","thus","Ik miste de trein, zodoende kwam ik laat."
"integendeel","on the contrary","Hij was niet boos, integendeel zelfs."
"enerzijds","on one hand","Enerzijds wil ik gaan, anderzijds niet."
"anderzijds","on the other hand","Anderzijds is het ook best gevaarlijk."
"bijgevolg","consequently","Hij sliep slecht; bijgevolg was hij moe."
"alsnog","after all","We hebben het alsnog opgelost."
"veelal","mostly","Veelal komt hij veel te laat."
"hoofdzakelijk","mainly","Het bestaat hoofdzakelijk uit water."
"ogenschijnlijk","seemingly","Hij bleef ogenschijnlijk volkomen kalm."
"nadien","afterwards","Nadien hebben we nog lang gepraat."
"desnoods","if need be","Desnoods loop ik wel naar huis."
"simpelweg","simply","Het is simpelweg niet meer mogelijk."
"indertijd","at the time","Indertijd kende ik hem nog niet."
