"dutch","english","example"
"groot","big","Het huis is heel groot."
"klein","small","Mijn kamer is erg klein."
"goed","good","Dit boek is heel goed."
"slecht","bad","Het weer is vandaag slecht."
"nieuw","new","Ik heb een nieuwe fiets."
"oud","old","Mijn opa is heel oud."
"jong","young","Zij is nog erg jong."
"lang","long","De film is heel lang."
"kort","short","Mijn haar is erg kort."
"hoog","high","De berg is heel hoog."
"laag","low","De tafel is te laag."
"duur","expensive","Die auto is heel duur."
"goedkoop","cheap","Deze tas is erg goedkoop."
"snel","fast","Die auto is erg snel."
"langzaam","slow","De trein is heel langzaam."
"warm","warm","Het is vandaag erg warm."
"koud","cold","Het water is heel koud."
"heet","hot","De soep is te heet."
"mooi","beautiful","Wat een mooie bloem!"
"lelijk","ugly","Dat huis is heel lelijk."
"makkelijk","easy","De toets is heel makkelijk."
"moeilijk","difficult","Deze vraag is erg moeilijk."
"gelukkig","happy","Ik ben heel gelukkig vandaag."
"verdrietig","sad","Zij is vandaag erg verdrietig."
"boos","angry","Mijn vader is heel boos."
"moe","tired","Ik ben vandaag heel moe."
"ziek","sick","Mijn zoon is vandaag ziek."
"gezond","healthy","Fruit eten is heel gezond."
"sterk","strong","Hij is een sterke man."
"zwak","weak","Na de griep ben ik zwak."
"vol","full","De trein is helemaal vol."
"leeg","empty","Mijn glas is alweer leeg."
"open","open","De winkel is nu open."
"dicht","closed","De deur is al dicht."
"licht","light","Mijn tas is heel licht."
"zwaar","heavy","Deze koffer is erg zwaar."
"schoon","clean","De keuken is weer schoon."
"vies","dirty","Mijn handen zijn heel vies."
"druk","busy","Het is vandaag erg druk."
"rustig","quiet","Het is hier heel rustig."
"leuk","nice","Dat was een leuke dag."
"belangrijk","important","Dit is een belangrijke brief."
"vrij","free","Ik ben morgen helemaal vrij."
"klaar","ready","Het eten is bijna klaar."
"zeker","sure","Ik ben er heel zeker van."
"ver","far","De winkel is hier heel ver vandaan."
"echt","real","Is dat goud nu echt of nep?"
"nep","fake","Die dure tas is helaas nep."
"waar","true","Wat hij zegt is helemaal waar."
"juist","correct","Jouw antwoord op de vraag is juist."
"fout","wrong","Mijn antwoord op de som was fout."
"verkeerd","wrong","Ik nam helaas de verkeerde trein."
"eigen","own","Ik heb eindelijk een eigen kamer."
"enig","only","Zij is het enige kind thuis."
"enorm","enormous","Het nieuwe stadion is werkelijk enorm."
"reusachtig","gigantic","In de dierentuin zagen we reusachtige olifanten."
"half","half","Hij at een halve banaan op."
"dubbel","double","We sliepen in een lekker dubbel bed."
"ovaal","oval","De spiegel in de gang is ovaal."
"krom","bent","De oude spijker is helemaal krom."
"bot","blunt","Dit mes is veel te bot."
"strak","tight","Deze broek zit me veel te strak."
"wijd","loose","Zij draagt graag een wijde jurk."
"nauw","narrow","Het straatje is hier erg nauw."
"houten","wooden","In de tuin staat een houten bankje."
"gouden","golden","Zij draagt een mooie gouden ring."
"zilveren","silver","Hij won een glanzende zilveren medaille."
"glazen","glass","Op tafel staat een glazen vaas."
"stenen","stone","Het oude huis heeft stenen muren."
"ijzeren","iron","Voor het raam zit een ijzeren hek."
"wollen","woolen","In de winter draag ik wollen sokken."
"katoenen","cotton","Hij draagt graag een katoenen overhemd."
"papieren","paper","We gebruiken thuis papieren servetten."
"plastic","plastic","Het sap zit in een plastic fles."
"leren","leather","Hij kocht een nieuwe leren jas."
"kartonnen","cardboard","De boeken zitten in een kartonnen doos."
"kleurrijk","colorful","De markt was druk en kleurrijk."
"bont","multicolored","Ze droeg een vrolijke bonte jurk."
"blond","blonde","Het kleine meisje heeft blond haar."
"pittig","spicy","Deze curry is mij te pittig."
"flauw","bland","De soep smaakt een beetje flauw."
"vet","greasy","Deze patat is veel te vet."
"hartig","savory","Na het zoete wil ik iets hartigs."
"knapperig","crispy","Het verse brood is lekker knapperig."
"romig","creamy","De saus is heerlijk zacht en romig."
"rot","rotten","Deze appel is vanbinnen helemaal rot."
"bedorven","spoiled","De melk is helaas al bedorven."
"lauw","lukewarm","Mijn koffie is alweer lauw geworden."
"ijskoud","ice-cold","Het water in het meer is ijskoud."
"regenachtig","rainy","Het was een grijze, regenachtige dag."
"stormachtig","stormy","Aan zee was het stormachtig weer."
"verliefd","in love","Hij is heel erg verliefd op haar."
"eenzaam","lonely","Sinds de verhuizing voelt zij zich eenzaam."
"alleen","alone","Vanavond ben ik helemaal alleen thuis."
"bezorgd","worried","Mijn moeder is bezorgd om mij."
"opgelucht","relieved","Na de uitslag was ik erg opgelucht."
"kwaad","angry","Mijn vader werd heel kwaad op mij."
"woedend","furious","Ze was woedend om de domme fout."
"dankbaar","grateful","Ik ben je heel dankbaar voor alles."
"verrast","surprised","Ze was blij verrast door het cadeau."
"geschokt","shocked","Iedereen was geschokt door het nieuws."
"bezig","busy","Ik ben nu even bezig, momentje."
"jarig","having a birthday","Mijn zusje is vandaag jarig."
"getrouwd","married","Mijn broer is sinds kort getrouwd."
"verloofd","engaged","Ze zijn pas een week verloofd."
"gescheiden","divorced","Zijn ouders zijn al jaren gescheiden."
"ijverig","diligent","Zij is een ijverige en nette leerling."
"mollig","chubby","De baby heeft mollige roze wangetjes."
"prachtig","gorgeous","Wat een prachtig uitzicht op de zee."
"schitterend","magnificent","De sterren staan vannacht schitterend aan de hemel."
"fantastisch","fantastic","We hadden een fantastische dag in Parijs."
"geweldig","great","Dat is echt een geweldig idee."
"perfect","perfect","Het weer was vandaag gewoon perfect."
"fijn","pleasant","Ik wens je een fijn weekend."
"speciaal","special","Vandaag is een heel speciale dag."
"knus","cozy","Het kleine café was warm en knus."
"prima","fine","De kamer is klein maar prima."
"vreselijk","terrible","Het verkeer was vanochtend weer vreselijk."
"afschuwelijk","awful","De film was lang en afschuwelijk saai."
"eng","scary","De donkere kelder is een beetje eng."
"onmogelijk","impossible","Op tijd komen is bijna onmogelijk."
"vorig","previous","Vorige week was ik op vakantie."
"volgend","next","Volgende maand begin ik aan school."
