"dutch","english","example"
"geenszins","by no means","Dat is geenszins de bedoeling."
"immer","ever","Hij bleef immer rustig en beleefd."
"weleer","formerly","Weleer was dit een rijke handelsstad."
"allerwegen","everywhere","Het nieuws werd allerwegen besproken."
"dienaangaande","in that regard","Dienaangaande heb ik geen oordeel."
"mitsdien","therefore","Mitsdien werd het verzoek afgewezen."
"allengskens","gradually","Allengskens verdween de ochtendmist."
"spoorslags","at full speed","Hij rende spoorslags naar huis."
"fluks","quickly","Fluks pakte hij zijn jas en vertrok."
"terstond","immediately","Hij verliet terstond de vergadering."
"node","reluctantly","Node nam zij afscheid van hem."
"louter","purely","Het was louter toeval, niets meer."
"pertinent","flatly","Dat is pertinent onwaar, zei hij."
"stellig","decidedly","Hij beweerde stellig dat het klopte."
"zonneklaar","crystal clear","Het is zonneklaar dat hij liegt."
"ronduit","downright","Het antwoord was ronduit beledigend."
"welbewust","deliberately","Hij koos welbewust voor dit moeilijke pad."
"moedwillig","wilfully","Hij beschadigde moedwillig de muur."
"hooglijk","highly","Ik ben hooglijk verbaasd over je gedrag."
"uitermate","extremely","Het verhaal was uitermate boeiend."
"bovenmate","excessively","Hij was bovenmate tevreden met het resultaat."
"metterdaad","in deed","Hij heeft het metterdaad bewezen."
"deswege","therefore","Deswege werd hij openlijk geprezen."
"evenzo","likewise","Evenzo handelde zijn jongere broer."
"desgewenst","if desired","Desgewenst kunt u later betalen."
"bijwijlen","at times","Bijwijlen twijfelde hij aan zichzelf."
"enigermate","to some extent","Het verklaart de zaak enigermate."
"weshalve","wherefore","Weshalve hij zweeg, bleef onduidelijk."
"ras","quickly","Ras keerde hij naar huis terug."
"aldra","soon","Aldra brak de donkere avond aan."
"notabene","mark you","Hij kwam, notabene zonder enig excuus."
"dies","thus","Hij was oud en dies wijs."
"voorwaar","truly","Voorwaar, dat was een groot wonder."
"wederom","again","Wederom moest hij teleurgesteld vertrekken."
"nadrukkelijk","emphatically","Hij ontkende nadrukkelijk elke betrokkenheid."
"gaandeweg","gradually","Gaandeweg veranderde zijn mening over haar."
"hoezeer","however much","Hoezeer hij ook probeerde, het lukte niet."
"desniettegenstaande","notwithstanding","Desniettegenstaande zette hij vastberaden door."
