"dutch","english","article","plural"
"huis","house","het","huizen"
"man","man","de","mannen"
"vrouw","woman","de","vrouwen"
"kind","child","het","kinderen"
"hond","dog","de","honden"
"kat","cat","de","katten"
"boek","book","het","boeken"
"tafel","table","de","tafels"
"stoel","chair","de","stoelen"
"deur","door","de","deuren"
"raam","window","het","ramen"
"auto","car","de","auto's"
"fiets","bicycle","de","fietsen"
"trein","train","de","treinen"
"straat","street","de","straten"
"stad","city","de","steden"
"land","country","het","landen"
"water","water","het","wateren"
"brood","bread","het","broden"
"kaas","cheese","de","kazen"
"appel","apple","de","appels"
"melk","milk","de","melken"
"koffie","coffee","de","koffie"
"thee","tea","de","thee"
"tijd","time","de","tijden"
"dag","day","de","dagen"
"nacht","night","de","nachten"
"week","week","de","weken"
"maand","month","de","maanden"
"jaar","year","het","jaren"
"uur","hour","het","uren"
"geld","money","het","gelden"
"werk","work","het","werken"
"school","school","de","scholen"
"vriend","friend","de","vrienden"
"familie","family","de","families"
"moeder","mother","de","moeders"
"vader","father","de","vaders"
"naam","name","de","namen"
"hand","hand","de","handen"
"oog","eye","het","ogen"
"hoofd","head","het","hoofden"
"woord","word","het","woorden"
"vraag","question","de","vragen"
"winkel","shop","de","winkels"
"telefoon","telephone","de","telefoons"
